cod_ibge;empresas
2903953;30
2904001;100
2904050;126
2904100;216
2904209;84
2904308;121
2904407;53
2904506;156
2904605;1839
2904704;120
2904753;86
2904803;65
2904852;124
2904902;365
2905008;630
2905107;59
2905156;100
2905206;1137
2905305;226
2905404;565
2905503;147
2905602;450
2905701;4749
2905800;503
2905909;350
2906006;1104
2906105;72
2906204;303
2906303;364
2906402;31
2906501;1055
2906600;161
2906709;250
2906808;525
2906824;117
2906857;109
2906873;872
2906899;68
2906907;179
2907004;75
2907103;177
2907202;485
2907301;285
2907400;41
2907509;929
2907558;64
2907608;121
2907707;70
2907806;381
2907905;154
2908002;215
2908101;119
2908200;220
2908309;123
2908408;1039
2908507;1218
2908606;216
2908705;201
2908804;58
2908903;319
2909000;77
2909109;97
2909208;83
2909307;506
2909406;108
2909505;37
2909604;145
2909703;77
2909802;1311
2909901;338
2910008;59
2910057;1178
2910107;172
2910206;39
2910305;72
2910404;159
2910503;537
2910602;439
2910701;775
2910727;2375
2910750;123
2910776;39
2910800;15256
2910859;155
2910909;42
2911006;64
2911105;413
2911204;490
2911253;26
2911303;58
2911402;104
2911501;56
2911600;226
2911659;89
2911709;2674
2911808;101
2911857;92
2911907;217
2912004;166
2912103;311
2912202;380
2912301;173
2912400;126
2912509;219
2912608;28
2912707;112
2912806;99
2912905;160
2913002;115
2913101;146
2913200;525
2913309;45
2913408;230
2913457;76
2913507;263
2913606;2965
2913705;287
2913804;45
2913903;838
2914000;801
2914109;197
2914208;51
2914307;93
2914406;235
2914505;256
2914604;2198
2914653;374
2914703;1180
2914802;4790
2914901;551
2915007;110
2915106;76
2915205;107
2915304;63
2915353;67
2915403;38
2915502;159
2915601;992
2915700;33
2915809;187
2915908;45
2916005;184
2916104;154
2916203;100
2916302;70
2916401;1238
2916500;195
2916609;45
2916708;49
2916807;171
2916856;287
2916906;140
2917003;353
2917102;331
2917201;247
2917300;350
2917334;80
2917359;116
2917409;144
2917508;1659
2917607;819
2917706;287
2917805;69
2917904;101
2918001;2804
2918100;316
2918209;128
2918308;127
2918357;219
2918407;3552
2918456;49
2918506;166
2918555;47
2918605;116
2918704;36
2918753;109
2918803;192
2918902;33
2919009;27
2919058;74
2919108;52
2919157;205
2919207;8619
2919306;229
2919405;204
2919504;1045
2919553;4512
2919603;81
2919702;165
2919801;652
2919900;56
2919926;152
2919959;69
2920007;102
2920106;149
2920205;98
2920304;85
2920403;102
2920452;36
2920502;535
2920601;354
2920700;418
2920809;55
2920908;119
2921005;884
2921054;78
2921104;267
2921203;377
2921302;127
2921401;82
2921450;56
2921500;411
2921609;77
2921708;305
2921807;174
2921906;153
2922003;596
2922052;144
2922102;191
2922201;49
2922250;68
2922300;308
2922409;262
2922508;387
2922607;71
2922656;125
2922706;116
2922730;142
2922755;30
2922805;57
2922854;34
2922904;173
2923001;538
2923035;94
2923050;94
2923100;180
2923209;323
2923308;37
2923357;214
2923407;166
2923506;147
2923605;551
2923704;202
2923803;292
2923902;90
2924009;1637
2924058;116
2924108;24
2924207;61
2924306;226
2924405;331
2924504;156
2924603;165
2924652;139
2924678;45
2924702;70
2924801;194
2924900;93
2925006;219
2925105;523
2925204;451
2925253;134
2925303;4750
2925402;87
2925501;373
2925600;122
2925709;133
2925758;272
2925808;333
2925907;231
2925931;94
2925956;121
2926004;493
2926103;231
2926202;206
2926301;523
2926400;374
2926509;58
2926608;803
2926657;48
2926707;199
2926806;178
2926905;95
2927002;431
2927101;81
2927200;403
2927309;110
2927408;60601
2927507;191
2927606;85
2927705;528
2927804;48
2927903;79
2928000;524
2928059;94
2928109;565
2928208;277
2928307;59
2928406;284
2928505;79
2928604;571
2928703;2590
2928802;637
2928901;526
2928950;169
2929008;67
2929057;205
2929107;285
2929206;173
2929255;239
2929305;559
2929354;35
2929370;98
2929404;71
2929503;399
2929602;207
2929701;171
2929750;123
2929800;66
2929909;833
2930006;106
2930105;1226
2930154;275
2930204;164
2930303;108
2930402;110
2930501;1253
2930600;187
2930709;2586
2930758;66
2930766;70
2930774;207
2930808;98
2930907;119
2931004;451
2931053;381
2931103;83
2931202;134
2931301;105
2931350;3051
2931400;51
2931509;145
2931608;134
2931707;86
2931806;99
2931905;491
2932002;258
2932101;188
2932200;319
2932309;211
2932408;111
2932457;81
2932507;199
2932606;224
2932705;267
2932804;193
2932903;1574
2933000;572
2933059;154
2933109;39
2933158;106
2933174;75
2933208;535
2933257;28
2933307;9135
2933406;116
2933455;124
2933505;177
2933604;373
3100104;262
3100203;681
3100302;371
3100401;55
3100500;87
3100609;156
3100708;36
3100807;97
3100906;322
3101003;100
3101102;482
3101201;122
3101300;47
3101409;54
3101508;1736
3101607;2796
3101631;115
3101706;699
3101805;114
3101904;583
3102001;325
3102050;115
3102100;192
3102209;44
3102308;266
3102407;44
3102506;61
3102605;1335
3102704;80
3102803;278
3102852;84
3102902;165
3103009;105
3103108;24
3103207;28
3103306;25
3103405;771
3103504;3469
3103603;58
3103702;103
3103751;176
3103801;66
3103900;263
3104007;3486
3104106;222
3104205;1788
3104304;500
3104403;47
3104452;65
3104502;243
3104601;494
3104700;161
3104809;74
